Industry,Gig_Worker_Percentage,Revenue_Growth,Cost_Savings,Employee_Turnover,Gig_Dependency_Level,Gig_Satisfaction_Score,Policy_Support_Level,Collaboration_Level,Impact_on_Company
Healthcare,13.881668224332088,2.9009720414354847,8.943645707599272,10.13807123122552,5,1,1,3,0
Finance,30.023234937794573,6.192418456341392,11.821184428748147,6.382973423651989,1,5,5,3,1
Logistics,33.974076823740084,5.758778982617785,12.273298419485503,13.336134663625602,4,1,4,4,1
Tech,48.62086885198427,7.319457208427734,13.040553120155254,7.073105617505784,3,1,1,3,0
Healthcare,20.6000106190925,5.627762871085245,13.12131587173215,12.499726649940252,1,4,3,3,0
Retail,54.671594594472474,6.837439725748398,13.031388654763449,7.748772745084332,3,3,1,4,0
Tech,6.4767752993658,1.6522872393623145,9.490987425530799,17.350373266015417,2,3,1,2,0
Tech,91.80765622686413,14.779194271000378,19.13431073519768,5.999764903490287,4,4,3,3,1
Finance,66.05662867602943,6.658766974447829,17.08598786541128,11.43092933085099,5,1,5,2,1
Logistics,98.09525047399327,12.793378584298493,17.73282725652445,9.91906801747842,4,1,5,4,1
Finance,62.6947855241755,8.94655887732131,15.354959442670685,7.591680562357297,2,1,1,3,0
Finance,15.196252587821512,6.068678975438864,10.80669626779417,8.416174718302461,3,4,5,4,1
Retail,20.424708634452337,4.875101941976896,10.085532549529995,14.920068265019516,5,1,4,2,0
Finance,6.717283689500897,4.55831690231768,8.959879570850372,17.13749356656313,2,3,3,4,1
Tech,19.550259019655357,4.435483335387511,10.603360360384482,13.746039944793369,5,5,2,4,1
Retail,16.898058923371252,4.856560506741319,7.857137369758496,13.177305355692605,2,2,5,4,0
Retail,76.12115151654739,8.73804552242639,15.37414888611576,11.36657663358781,2,2,3,3,0
Healthcare,29.04848847640389,5.26687602276582,10.537025102936788,20.38031456538642,2,2,4,1,0
Tech,29.56585718430982,5.467143818003132,10.363690664016687,19.79252468792177,1,1,3,5,0
Logistics,75.96949977999118,9.738188616517748,13.729128853350725,11.654978603210195,1,3,5,2,0
Tech,74.25371624554654,12.87872876966814,14.481459823982231,10.266397520367818,5,3,4,4,1
Healthcare,90.94262353541222,11.904256247094064,16.872473784752614,13.910464330893419,3,1,5,1,0
Finance,47.496703839023425,7.413237564943165,10.854972424991285,11.934678069755984,4,5,2,4,1
Logistics,27.313987560505005,4.772766484248331,9.764962551198572,12.763381341162106,1,3,5,4,0
Healthcare,15.98434880002304,5.866726172373579,9.626700080943916,20.250410741863924,4,2,5,1,1
Finance,66.47969910304585,8.763794377403611,13.525712436061337,15.544296609127253,4,5,3,4,1
Logistics,34.28451068821686,6.355220400420098,12.286015835411819,13.252662692226462,1,4,1,2,0
Logistics,88.31964468027265,9.103715233861902,13.644900087168889,12.405876907204485,3,4,3,1,1
Retail,63.71165747646129,10.46876031311382,12.87456051522378,9.323442520188594,3,3,4,2,0
Retail,30.75027744634301,2.9870553740998655,10.41825851252246,11.84913391509337,3,1,1,4,0
Tech,90.13176651635843,12.163048042758797,16.275103135619798,9.358010196327182,1,3,5,4,1
Finance,65.20141271689505,11.633163315731554,15.397709729111279,3.680178778375632,4,1,2,4,0
Logistics,83.82798458526146,8.732366519779319,16.46814084000669,12.622056083898002,4,2,3,4,1
Healthcare,88.74851867073357,11.08387426003644,17.078213777656526,9.981300582329876,2,1,3,5,1
Finance,88.9621235789257,11.915215749434475,18.079731633375317,9.687910060595707,4,2,4,4,1
Finance,22.327912693240194,4.960516753174408,11.728723856905997,11.415187018374128,3,3,4,1,0
Healthcare,30.360504708709236,7.311096772353423,11.723329475060616,13.976292029110617,5,1,4,1,0
Retail,4.303418330669439,4.652033175840912,7.942730135630503,8.67273949305548,3,2,4,3,0
Logistics,45.42192067849121,8.209210242956484,14.220660316591959,11.726550855540523,5,4,2,3,1
Tech,2.098299628630318,4.630428128494959,5.367619506185811,12.739431395544793,5,5,2,3,1
Tech,89.25837763896203,10.315814932813662,17.757198183045876,11.954550000256058,1,2,4,3,0
Retail,64.51700693545301,8.424411931243158,12.78322416716047,7.364460948575425,3,4,3,5,1
Finance,6.497394247897537,5.493096710714201,10.52802213702137,14.092382567489132,4,2,2,5,1
Finance,94.47569058520918,10.120141938796447,20.04958385270311,10.362993308654588,3,3,4,2,1
Tech,27.413275881336673,5.595028082651037,12.892184774278206,10.298989656584583,2,3,5,3,1
Retail,10.559306570639116,5.638604091834557,10.336921589867003,12.165969073091693,3,3,3,2,0
Finance,63.59108609667031,11.563353613680647,17.10889314298154,15.097116888789538,4,3,3,5,1
Healthcare,66.45536639564065,13.872768337327038,15.856231019265824,12.216988742390182,1,5,2,3,0
Healthcare,31.9330807161891,4.125142527472404,11.313095566577882,15.04123860658617,2,2,3,1,0
Finance,57.27231845118356,9.719006857626018,12.097985532723042,8.327336648578754,2,2,2,3,0
Retail,79.45342025661246,12.68653338082651,22.360603800709534,18.6655580387888,5,3,4,4,1
Logistics,5.277178787128722,2.8389581227014435,8.55956550571858,11.21183115115153,3,3,2,3,0
Finance,0.9506202418105625,4.16643801652595,6.668402431590442,12.548551714987383,1,5,2,2,0
Logistics,21.513022642467917,4.724615227847639,12.163525913645781,13.03020853285087,4,1,5,4,1
Logistics,1.9693922178820489,3.940711120023882,7.422355774064143,3.4581790800212904,2,2,3,4,0
Healthcare,90.35829853016418,12.333844258033555,14.634851295067605,8.930068951691021,4,2,4,5,1
Retail,58.36122161410496,8.36590624641969,17.228503020349137,14.711748632400985,5,5,3,1,1
Finance,3.523490931277129,1.9360869989033778,7.356168306712242,16.48114946704779,3,5,4,4,1
Logistics,90.70081212606208,12.889451211221726,17.785707901184878,12.197725335609864,2,1,5,4,1
Retail,16.683829164162432,4.530597940152791,7.737077933067194,15.087965531946669,3,2,3,2,0
Retail,31.332783215131556,6.67586103436845,10.827280977849277,8.819630650393279,2,5,1,1,0
Logistics,7.467293019806254,2.727346537034989,6.895119389737598,16.110020513804862,5,4,1,3,0
Retail,21.699774606031685,8.026040122738323,8.778685171846092,9.819805909068906,2,2,5,3,0
Finance,96.39412669836535,15.65657633235875,19.169843346445663,15.984227665629524,3,4,5,5,1
Retail,17.53678025403773,3.5367153208048716,8.566675971269762,15.881851218743913,2,5,5,5,1
Healthcare,74.83011227232221,11.238724156423936,15.640150320429365,11.54559966504193,2,3,3,4,0
Retail,18.322586690535438,6.0083197442464265,7.496239891137581,8.460890748205882,1,2,5,5,0
Tech,78.08258334109281,12.14300195610188,14.262547294924431,11.886094238483423,5,3,5,2,1
Logistics,2.723710258421408,4.13965657322139,7.3027554904421015,9.706951804696875,5,4,5,3,1
Tech,3.6314739335735258,2.336233028669809,6.786885183035207,13.541540086416152,2,2,1,5,0
Tech,84.09232614634595,12.512569939077562,14.893254660719101,16.093790868117598,2,4,1,3,0
Retail,88.8851857724405,12.40416438076874,19.480871389370108,13.295722024247363,2,2,1,1,0
Finance,36.122273523428625,8.143591698629663,13.974184278810268,16.220616256905668,1,4,2,3,0
Logistics,8.96326781099287,4.670106368575041,8.290795204157385,8.370498385773207,3,1,3,3,0
Logistics,55.2136787846022,10.916856452233043,12.243543778932656,7.269003730354931,5,1,5,3,1
Retail,83.49408032137124,10.681560304452477,18.054242558221794,13.149244734989177,4,2,1,5,1
Finance,68.57624417600562,8.474893658847808,14.071914496361037,10.633632474421368,5,3,2,3,1
Logistics,79.3258512977378,9.587968606202633,19.243490444814643,11.619655942386306,5,5,4,5,1
Retail,53.37003734151716,7.776283076869656,12.58226568330595,17.83682154947523,1,3,1,1,0
Retail,10.539330746978703,5.60775354477592,7.77478276945198,7.98639750744847,1,1,3,2,0
Retail,88.52625740541524,11.767283448568037,16.3346624711451,16.695672186684895,2,2,4,2,0
Finance,33.13710462860002,6.238851857307968,8.654104410413744,10.998501522266935,3,1,5,2,0
Healthcare,97.742836908247,11.07885946713898,20.320948583959755,7.631180001035439,1,5,1,3,0
Tech,21.878068226269363,3.1268802912978546,8.886947703500867,9.109764052946245,3,2,4,5,1
Finance,11.881624726514717,2.084301739300223,10.171269174462982,6.1986602946466975,3,2,4,3,0
Healthcare,15.76342317168178,6.528280809224043,8.731456513473104,10.058552538174816,4,3,2,4,1
Retail,25.669067386606315,6.141999621077001,9.4090269151432,13.56443202538327,2,3,2,4,0
Tech,74.13949722797497,12.541618758696803,14.565755919929451,7.992371591511146,4,5,1,2,1
Logistics,55.70768419744303,8.544116001198875,14.8367746444485,9.37693982330506,2,3,2,3,0
Finance,34.21413172970391,6.369253957453767,9.058519446078316,18.61479789779468,1,5,5,4,1
Finance,81.74437864369165,9.136228824425071,17.205307800282835,16.352978074843858,5,4,5,5,1
Tech,50.730023256424985,6.367002207414222,11.812362090916388,3.6836296171430707,2,1,3,5,0
Retail,24.810808569480216,1.2790631589786923,14.018766684742896,12.39281989871896,5,5,2,2,1
Finance,49.687739168679556,9.69423104845383,13.906302113483589,11.742586251446035,3,1,2,4,0
Logistics,40.84366768920565,8.440256454222002,10.026637807544352,6.0101827584002345,2,3,5,5,1
Healthcare,0.43706447860122344,2.1595521301123233,7.507830956887043,18.19522963992673,3,4,1,1,0
Retail,43.88401327161534,8.582011164781736,11.62081122911337,18.293149761413122,2,2,2,4,0
Healthcare,44.75464814142238,7.400007900888612,11.056441815747226,17.00401908114292,4,4,1,2,0
Retail,64.84239317715787,9.06743594764673,12.610053757750546,12.503931896454281,1,3,5,4,0
Healthcare,83.67341825526609,12.582202489682736,17.60753674677255,16.31584166801666,3,1,5,4,1
Logistics,49.09215784782912,8.997413352671982,8.443657211665869,18.241848374971234,1,3,2,5,0
Finance,9.619969380229666,3.6044623139475425,7.843073342790442,14.371460949211569,5,5,1,5,1
Retail,86.55750626971209,13.757328806273453,19.112280159090346,15.298325576999423,3,1,2,5,1
Healthcare,26.022402103534837,4.461000354775762,9.400504579975522,18.84262956924037,5,3,1,5,1
Logistics,21.304674677215864,6.7787612412993195,10.225356365869843,13.141455320870373,3,2,3,3,1
Finance,64.31517453797217,10.095201726732913,13.73724969484812,3.762575953340806,5,2,1,4,1
Logistics,18.004989996678546,4.915493633315184,10.5221708482635,17.009725821993918,4,1,3,1,0
Tech,78.93087902466132,13.083719168064043,18.864372286797302,8.437514225688277,5,2,2,4,1
Finance,98.82149529157813,8.057169264072936,17.461365295628795,15.347958035777957,1,4,2,1,0
Finance,85.46781161613553,9.405474300117728,16.93102262758125,18.774959888495832,5,2,1,1,0
Finance,40.145100761237195,9.516471837827934,11.421480937428884,14.321963043967763,1,3,2,4,0
Finance,46.05552954737462,6.395532821868424,13.22803867884238,9.448284601760644,4,5,3,5,1
Tech,53.653577362571035,9.57146167251367,13.868216573896195,12.590052458772474,2,2,3,5,0
Finance,85.22644268539192,10.983325620591508,18.467580690903418,15.31114262564469,2,4,4,3,1
Healthcare,18.09731153658678,5.531785734169106,10.716577045041785,11.052305824711253,5,5,2,1,1
Finance,16.701341709892027,5.964049199003024,8.294228810735701,4.611254098296825,4,2,1,4,0
Retail,67.39812723165507,7.355913827560066,15.41032270316436,9.305271337160569,2,3,5,1,0
Retail,15.759032215646862,5.841696224182765,11.423843877334695,11.40346812082153,3,3,4,5,1
Retail,38.748000552284324,7.431987612741397,11.556268390013832,14.439873607862767,2,4,2,5,1
Tech,60.178716440711575,10.254653619901838,14.627581815310588,8.056572304928714,1,3,1,4,0
Retail,83.71474313251173,12.693790486731801,16.876768731930134,9.52379902276534,4,3,3,1,0
Retail,37.447789825458756,8.510576550239461,10.650821771392296,10.565570522093736,3,4,5,4,1
Tech,44.003880552318584,6.721467202284413,13.532462908740616,13.070242528456046,3,3,2,2,0
Logistics,12.75984068329381,5.722745365517278,8.914331746011309,17.568137443660255,2,2,2,1,0
Tech,22.481248169884605,4.785903308133013,10.769122393254126,6.474211543249174,5,1,4,3,1
Finance,41.423842419559456,8.109517329670526,11.81114411847794,10.234214233042302,3,4,1,4,0
Logistics,49.87412795633048,8.576429490723163,14.183452380719146,10.444309046588703,2,5,5,5,1
Retail,62.63010947738658,10.349733353181406,13.745520469882031,18.60641010999154,4,5,5,1,1
Retail,80.52705972072509,10.677669606106095,19.601542181782747,9.87880209316095,4,1,2,3,0
Tech,29.674783310651943,7.788544400887045,11.301406313022147,10.554410518131153,2,1,1,2,0
Healthcare,95.06244692703166,14.447735774539375,16.747225114461692,10.536844461144462,1,5,4,4,1
Healthcare,22.377229158085342,5.953067231359556,7.623370078728514,15.142278015689802,3,3,2,2,0
Tech,33.4493334011551,8.901943005295049,13.378508671166703,7.591093797282846,5,3,1,3,1
Retail,20.261570069617672,5.775835065802976,11.207208463606621,11.41906070669688,4,3,2,1,0
Logistics,88.20544042787685,10.648602882557023,16.571726074045408,10.149697935689682,4,1,5,1,0
Retail,31.123804686473466,5.658804783562396,11.002135134211944,11.473065176449945,5,2,2,4,1
Logistics,72.55651973308677,12.510679355652705,15.820412773789464,11.393098965891513,5,5,1,4,1
Retail,88.91161436025389,11.853482844494541,19.492403536949283,7.591778023868853,3,4,4,2,1
Logistics,49.64607109233855,9.717994545136722,14.732233441327136,14.058583862325191,3,4,2,5,1
Tech,54.54742327381976,9.56920726377851,12.254293115792564,15.91142624388357,1,4,2,5,0
Retail,14.270035982935081,3.531145581813642,8.143579255255776,9.915984346782368,4,1,4,4,0
Finance,76.0584804976167,10.218386807417646,15.354140737161835,18.54906138843303,5,2,4,1,1
Retail,89.71277916691946,11.929398623361484,19.864724047719985,2.2101643862313853,1,5,1,1,0
Tech,37.15493888554309,6.374115582575427,11.816896505939841,19.57763560151214,2,2,5,2,0
Retail,95.9506810298213,13.233536280408345,18.38863397698405,13.797190002593364,5,1,1,1,0
Logistics,36.83523574883749,6.649461737735748,12.378558683382431,14.670828353614816,4,5,3,2,1
Retail,87.69486168024969,11.917756147524699,20.238873734733847,6.5013303705591,5,1,4,2,1
Tech,48.94451812312478,9.795950739870756,12.336157939855074,6.620071970275284,3,4,4,2,1
Retail,99.26829520836597,13.212850514188645,21.66090321783903,3.61419473989851,2,4,1,4,0
Healthcare,89.44526188234913,13.103440082911723,18.22284285254368,14.978962979745255,3,1,4,3,0
Tech,36.27368681208765,6.668830715925394,11.034274246578509,10.864528133966514,4,4,1,1,0
Finance,86.59566019448684,13.707454866677498,17.664839716000728,9.197000809564969,1,3,1,1,0
Healthcare,59.754437452722,11.57175766995281,13.559387315303017,17.96587683148797,3,2,1,4,1
Retail,71.71194855322923,7.688357392054751,17.302532862831267,16.182869514394,3,4,1,1,0
Retail,29.33275032907583,5.085077026958429,9.879294101584874,9.355841986446917,2,1,4,3,0
Finance,31.579271633582252,4.711161002852286,11.526008786153842,11.238750734490814,4,2,1,3,0
Healthcare,0.9725875131194384,2.9478054715794153,8.14418321045748,8.521437094792432,2,5,5,3,1
Logistics,86.79111317392612,11.294708156277991,19.310380574767155,11.01716005247071,3,2,4,2,0
Logistics,9.581157965679699,2.647177010647254,8.235144407098542,13.321747497356334,4,4,2,1,0
Logistics,60.39877538322589,6.650394884404184,12.59082634272867,11.670473240182677,4,5,5,4,1
Retail,13.325650583301163,4.776843589964348,8.661945544770441,16.46920012211404,1,3,5,1,0
Finance,78.00260645738895,15.029365292549713,19.370639656255893,4.5864911974597335,5,4,5,2,1
Retail,77.88234493358115,9.777837092877181,18.188286172121707,4.675880064033392,3,3,2,3,0
Finance,59.59707593878597,8.131477919859925,13.327585181193944,12.004992584671971,3,1,2,4,0
Healthcare,38.43696757343462,7.08778996326763,9.496085853537723,10.890378351526222,4,1,2,1,0
Retail,84.76326983857129,9.102020042449613,19.49799570062283,11.803668446395413,5,2,2,3,1
Healthcare,97.43585996158886,12.371750345905518,17.285964650112344,12.968255974373692,4,5,2,2,1
Healthcare,99.924058022444,14.603661282908645,19.7926908902836,3.6927169202875203,2,1,5,2,1
Finance,41.640927947780604,9.20811982250888,11.737218151405765,12.051077898760147,1,1,1,3,0
Finance,62.62567303206703,11.417110548353492,16.288538045841886,13.45575901971772,1,5,5,5,1
Retail,88.0022028410664,11.706628964027352,17.169706251966154,12.079265528687008,3,2,3,1,0
Logistics,42.74896501846589,4.8073512599373105,11.694041326216038,13.532304466605229,1,3,1,1,0
Healthcare,94.36870866467166,11.968078717625596,19.3069989995035,14.014198206985235,2,4,4,4,1
Tech,37.29589419578188,7.671652549773852,12.161519104802535,12.703617218159009,4,3,3,3,1
Tech,21.82172355329324,6.530028209866874,8.907913299198192,16.507888055494348,4,2,2,2,0
Retail,60.78237721413878,8.863092244909641,14.55045591635389,13.166953106833095,1,5,5,5,1
Logistics,32.36371752402392,7.322358726684031,7.705916377249914,10.712925216876041,1,4,4,2,0
Logistics,76.65980946514712,11.644243301422113,16.487861946096828,15.160031577829539,1,1,3,4,0
Tech,87.00487660816937,10.750125535570287,18.966344334733822,15.039348869110917,2,2,2,1,0
Healthcare,37.128561240847844,7.436690357308452,9.04084935208402,16.52482342718715,4,4,1,1,0
Retail,94.57912719417038,12.608836086392987,19.04937566681926,7.971794584314899,1,2,3,5,0
Finance,39.054598303993316,8.888325381922325,12.523942590383378,13.557542255820978,5,4,5,5,1
Healthcare,71.660627556505,8.982485152333005,14.35330385272649,8.037572258031142,5,1,4,1,1
Retail,58.710335506303736,9.53653225755171,15.091604976920165,10.223648790674906,3,2,4,4,1
Tech,22.16091882391509,7.294114803023553,7.876111897313496,5.885569093481373,4,1,1,2,0
Healthcare,63.0516985213998,7.440873285673625,13.813531015061663,9.866053329911567,5,5,2,1,1
Healthcare,44.413285075802676,9.211514173222563,12.383195567748857,10.447332600636248,2,3,2,2,0
Tech,4.679185076794123,4.568273325443483,8.931322402244632,11.102352086692541,4,1,1,4,0
Retail,55.809204036714945,6.294517053066276,11.707518587158853,11.510834717052061,3,3,4,3,1
Retail,84.36237885896406,10.696524771809374,17.17068316901819,11.230484850727859,1,3,3,4,0
Retail,19.066858102117322,5.60349885835007,9.69418865366759,16.2097350048643,4,3,2,2,0
Retail,78.5068057320331,12.856444333998889,16.620033582585545,17.03374772434088,4,5,2,2,1
Logistics,59.301495927228586,9.71440207886459,14.771603520735578,11.227137248444496,1,2,2,4,0
Healthcare,23.660934259097278,6.509314912074563,10.387157818661949,3.1120388813264097,5,1,1,5,1
Finance,93.6627095235241,12.104004641010626,17.700705144111758,17.589615561513376,1,1,3,5,0
Healthcare,75.30630462874002,13.36831394115983,16.019655175020524,16.94549166512977,4,4,1,3,1
Tech,46.3396646606,11.061795968784546,12.453862643155531,16.75425676556284,3,4,5,3,1
Healthcare,23.16116803621282,3.5503558495006464,11.237492485024095,15.885209295924751,2,1,3,2,0
Logistics,62.72235829079828,11.42441796973744,15.41964080059608,12.745184073508325,1,3,2,1,0
Retail,70.81516877406011,9.901949401952738,13.861911813588705,11.392775061724167,4,3,4,2,0
Logistics,53.8545442140131,6.460947665413688,13.693424558529635,14.060279315251192,2,1,5,4,1
Logistics,72.85425986619441,12.613287644813663,16.55462063252967,14.854729918079162,4,3,5,5,1
Retail,42.16937137181817,7.007516332720108,13.569043743181398,13.373858860190158,3,3,4,4,1
Retail,90.95515907751013,14.317510106165498,17.899449157820357,7.71081923507486,3,5,5,4,1
Tech,65.21907851312807,11.572690678958878,16.978235808626575,16.251166637375487,4,2,3,3,1
Finance,98.87572401148455,14.634283256011873,18.933003541971786,14.32552108906179,5,3,2,1,1
Logistics,13.635379511075751,4.097184126947218,11.137647656879349,6.223843033589415,2,2,3,4,0
Logistics,9.662140446133904,5.287528812307048,7.3218353291227265,15.703210545817727,4,4,5,2,1
Finance,32.168404666703445,4.755252924628669,10.113831231835256,11.093165959246717,2,3,4,5,1
Finance,66.07289701491743,10.980022325035849,15.94239177173066,19.136583516890017,5,4,3,1,1
Tech,8.148256184636827,6.746640275805288,9.806208499599691,8.420429904444113,1,3,3,3,0
Tech,34.66903770292517,7.643191514049558,12.908432213512302,17.900369856539818,4,2,4,3,1
Healthcare,60.32823194505884,7.8573781106205995,13.402806836911118,11.14432717966449,2,5,5,5,1
Finance,60.88670946292331,8.1185957756001,13.174005627635314,11.492885772099466,2,3,1,2,0
Logistics,55.874499716638006,8.542117235256956,12.408262310686514,12.434685000666152,1,5,4,1,1
Finance,79.00267616422848,10.074129754077967,15.653601296440373,8.200632327065822,2,3,5,1,0
Logistics,6.717543126585612,3.386534255383427,10.997365513495097,10.053018187167783,3,5,1,3,0
Finance,68.18496118721639,11.87413735605205,14.82996043061728,11.297385506793596,1,3,2,5,0
Logistics,33.22365952468594,2.5425353399932185,12.61466502587443,16.121466200732314,3,3,1,2,0
Finance,16.90635682030002,3.205339135568783,9.386727266088318,11.907165726237068,1,2,1,2,0
Logistics,52.36766228041135,9.881189301787844,13.514728785276843,17.115633725654458,5,4,2,1,1
Retail,95.08410342291114,14.159389306214056,17.886962873521465,4.149827472118154,5,5,3,5,1
Healthcare,92.24765337809797,11.260464804096085,19.814824996327022,10.410337848595548,5,2,2,5,1
Finance,69.34258020995962,10.35234745064528,13.803040726274753,5.1567971653586016,5,3,2,3,1
Tech,93.19540483535155,9.101235283628156,18.578280770724863,13.211611132956957,1,3,4,1,0
Retail,87.14520646188431,12.219493359988387,16.895879777174844,7.70448673794427,5,5,4,2,1
Healthcare,12.958573000998442,3.4299241390620274,10.230477011887281,11.322258016147789,4,3,5,3,1
Healthcare,6.844769370079751,4.212388209751801,7.828945051234281,11.237529998742481,3,2,4,3,0
Finance,84.75320034620178,12.053031927766725,17.264270442900653,10.224827777171432,4,4,4,1,1
Finance,42.56852391184338,8.756035231897137,11.951207373539495,10.24517672486206,3,4,4,4,1
Healthcare,66.38101052502829,8.932424928521353,14.383394183866232,8.526264273570797,1,3,4,5,1
Tech,50.226693885219944,7.733521596801385,12.742521560044137,13.405948634223964,1,3,3,1,0
Finance,77.41668850687273,10.720375470863463,14.768060144024286,19.051048419936386,5,1,3,4,1
Retail,82.04285589594384,13.607406538313434,16.353217452287335,12.008706630283168,3,4,1,1,0
Logistics,91.92235143305581,10.980785262818376,18.361492084789948,5.728219267382402,4,2,3,5,1
Tech,11.654668771519749,1.3936482304967477,8.289714053472425,8.479872761665328,5,2,5,5,1
Healthcare,72.25161070962618,8.07145843205738,16.695170422847738,15.619162529444633,2,2,1,4,0
Tech,31.296697270048234,5.726529410552498,12.500311708254388,24.42507395162786,3,5,2,3,1
Healthcare,9.102543535038699,2.4790696412319573,10.175062929293635,12.175040786695574,4,2,1,3,0
Finance,16.928621027278943,4.058461475078815,8.931134544166929,8.606797850585783,2,2,4,5,1
Logistics,3.334369785895841,2.6175881662834866,6.444146370860964,6.7028470878252016,1,3,1,2,0
Healthcare,81.76347128256131,7.1037052240399055,19.717560700342123,16.91528145244187,2,4,2,3,0
Tech,90.77599912404726,12.726214375268611,19.86896890785491,18.447346368766716,2,4,3,5,1
Healthcare,41.454955314796216,6.091161834768984,12.784160215681016,9.29196795278531,2,3,5,2,0
Tech,57.782150627161386,8.435277249115234,16.201345544732543,14.384549348978451,2,4,2,3,0
Tech,98.22594078707027,12.928151788794588,19.61014777545573,9.364325832766115,2,4,4,5,1
Healthcare,9.244321199054074,1.5814361657519753,9.55713419717709,9.007574790242403,1,2,5,4,0
Logistics,47.9925689004394,8.583184593094153,13.375904124589747,5.469768963539152,1,2,2,1,0
Healthcare,87.37460984085104,13.243488870569967,17.661602927901406,17.374686833372124,5,5,4,2,1
Retail,51.63541626664959,11.175751081905027,11.208496439577518,12.2383415328013,2,2,4,3,1
Healthcare,1.6867181734858683,3.6819241434977923,4.018372897976186,12.062100326089197,2,5,2,1,0
Tech,61.095176943627735,10.634232035959272,13.58916580851963,13.32430581973597,3,4,4,5,1
Finance,5.6131588021072325,7.089964631648421,8.91377639138075,9.92785489248275,3,5,2,5,1
Finance,2.908761858897435,3.2722844384966674,7.2808124725080905,9.260698977872108,5,2,4,5,1
Logistics,40.411618154615994,7.597112074015268,10.197985551296865,14.11616262210966,5,3,1,3,1
Logistics,68.60759642621699,11.029193881981906,15.757807790777896,8.584211197327367,3,5,2,2,1
Finance,50.70797990727135,6.716179414627316,16.874642231237402,12.660241328508167,1,4,4,2,0
Logistics,89.82726644925535,15.55425233217714,15.618915604660572,11.491699248602687,1,2,5,3,0
Healthcare,19.159494968442303,8.228200741931005,10.620803076333171,13.943424095855471,3,3,4,2,1
Finance,68.45883976530838,9.759994100321299,14.690066532824872,14.120702154138222,5,1,1,3,0
Retail,54.88153301632129,8.946605540535465,12.715148438542741,9.375672290134963,1,1,3,4,0
Logistics,4.04340955151572,2.228425689446546,9.493687983875454,15.589088201798756,3,4,2,3,0
Tech,48.41642473920018,7.116786223694808,11.98800358229673,12.82507374043448,4,3,4,1,1
Finance,84.86988152297418,10.792459905047695,14.565682961360105,10.981542483696707,3,2,4,3,0
Healthcare,64.53059290176051,8.442520128523242,16.360324271060975,13.906786245871668,1,2,1,1,0
Tech,50.5063784179996,4.192007539831437,12.169144164880404,21.2396607586171,2,2,5,3,0
Tech,45.12450533654485,8.09848296439011,13.93744111679744,12.430090037735884,1,3,4,5,0
Logistics,2.568026385903477,1.94898626698382,11.722078079367384,11.985396125921373,5,5,5,5,1
Tech,3.001048777414117,1.9043897249097888,5.392648415348624,17.892367480052705,1,1,5,2,0
Healthcare,78.57426131225226,11.737550573324883,13.672979132936003,19.952532515925974,4,2,1,2,0
Tech,81.31053793945267,11.150271374442877,18.988703837038823,15.871012533645386,2,4,1,4,1
Finance,64.87986245788886,10.661150048682963,12.855937769341416,11.838913577704778,5,4,1,1,1
Finance,59.55492804058533,9.758805466599284,17.194814769073687,17.383757651885727,1,5,2,4,0
Tech,69.06798621824967,9.483403902237411,15.362892351430395,8.95110126211021,1,1,1,1,0
Retail,32.17365163129623,6.900361662099199,10.976762052704427,11.302481943302238,1,2,3,1,0
Healthcare,76.40014560278419,10.173056453418916,16.131115371377348,16.380090350100254,2,1,3,1,0
Tech,24.071242978226636,4.867634080864285,11.608837953446484,15.016498191396645,5,5,3,3,1
Finance,25.480082447706355,5.333087763460186,11.99901526839623,4.843315701966273,2,1,5,2,0
Logistics,25.267421195757688,6.757877690554025,12.22572878938863,12.767876590547736,5,3,2,2,0
Logistics,29.007608330572577,8.969902436384283,12.82197305354852,12.730141989684675,5,1,4,5,1
Finance,79.57277149698383,12.954373645952387,16.755088776164815,21.974180358575563,5,2,5,3,1
Logistics,39.44774409821187,6.2158471816391225,11.532285385591031,21.492872818537535,3,5,2,1,0
Logistics,15.46132440198339,3.4404685276453932,9.034401944821237,17.664245845142982,2,2,5,2,0
Retail,86.19099483043794,12.461035605264799,19.58298640844223,23.48037030925121,1,1,3,5,0
Retail,20.982603594871698,4.7649676174016005,9.964378543864733,12.30665632723936,5,1,1,1,0
Retail,0.5521478401990798,3.5358857211764465,8.012337722202775,11.561961304705429,3,4,5,5,1
Retail,29.3410910019395,4.081926427548707,11.626330456767619,11.761744922990053,4,4,2,1,0
Logistics,63.99892250357414,8.54869570644109,12.806958253342806,11.868655948831911,4,3,1,1,0
Tech,56.223532171447864,8.642102672746345,12.69242777647664,5.173873957247151,2,4,4,5,1
Logistics,6.715778238282133,2.156899786138131,9.224987912443705,16.83954479512772,2,5,1,4,0
Finance,6.878065769765895,6.507000960216878,7.878782547314126,7.534507708062184,5,4,3,3,1
Tech,57.58276467140232,8.996167036120026,15.023419431939207,18.494030541437755,4,4,5,3,1
Tech,62.27466142952265,7.844151403285007,11.418384980508721,9.133247127257096,5,2,2,1,0
Retail,75.81384615092877,10.188939914418945,16.401190955739636,3.655985129059603,2,3,5,4,1
Healthcare,44.20386619489061,4.58781494749217,10.113504856626491,12.63261189829474,3,2,4,2,0
Healthcare,44.61507824942594,8.081499226944025,13.666358825263464,15.436171285337357,2,5,3,5,1
Finance,82.89590172106733,8.344685493121784,18.403792479981785,10.085376676486321,1,4,4,5,1
